location_name,coordinate
Payuel,N7 28.670 E31 30.880
Payuer,N10 04.360 E32 17.130
Perenyang,N10 02.570 E29 57.300
Pibor,N6 47.450 E33 07.410
Pieri,N8 02.620 E32 01.620
Pochalla,N7 10.700 E34 05.800
Pointe-Noire,S4 48.000 E11 51.000
Poktap,N7 27.400 E31 25.000
Pulchuol,N8 07.290 E31 57.650
Pultruk,N8 35.667 E31 56.949
Raga,N8 27.800 E25 40.830
Renk,N11 45.800 E32 48.300
Rub Kona,N9 18.000 E29 47.290
Rubkona,N9 18.000 E29 47.290
Rumbek,N6 50.000 E29 40.800
Tambura,N5 37.671 E27 29.271
Tereketa,N5 26.200 E31 44.500
Thanker,N8 23.240 E30 03.200
Thar Jath,N8 28.000 E30 19.000
Thokchok,N9 10.600 E30 44.950
Thornyor,N8 13.560 E30 13.190
Tielariet,N8 46.770 E27 52.960
Toic,N8 57.970 E30 42.430
Tonga,N9 30.971 E31 01.800
Tonj,N7 16.000 E28 44.000
Torit,N4 24.000 E32 35.000
Turalei,N9 05.450 E28 25.920
Uider,N9 18.730 E33 40.910
Ulang,N8 39.560 E32 43.060
Ulang RWY,N8 39.156 E32 43.597
Unity,N9 28.873 E29 39.715
Waat,N8 11.500 E32 09.000
Wai,N8 14.500 E31 17.450
Walgak,N8 09.560 E32 14.510
Wanding,N8 04.810 E33 06.210
Wareng,N9 01.500 E27 20.440
Warrap,N8 05.480 E28 38.600
Wathjak,N8 37.080 E32 48.470
Wau,N7 44.000 E27 59.000
Weichjal,N8 21.648 E32 26.454
Wullu,N6 30.600 E29 37.200
wunrok,N8 59.360 E28 18.220
Yadit,N8 13.110 E32 15.890
Yambio,N4 34.030 E28 25.470
Yei,N4 07.650 E30 44.210
Yida Real,N10 07.000 E30 04.000
Yirol,N6 36.330 E30 58.530
Yuai,N7 54.060 E31 53.300
